SCIENTIFICNAME,DECIMALLONGITUDE,DECIMALLATITUDE
Pseudolaelia citrina,0,-18.766944
Pseudolaelia citrina,-40.446389,-18.782778
Pseudolaelia citrina,-40.446389,-18.782778
Pseudolaelia aff. citrina,-40.980556,-19.741389
Pseudolaelia citrina,-40.981111,-19.741389
Pseudolaelia citrina,-41.439444,-19.814722
Pseudolaelia citrina,-40.614444,-20.173056
Pseudolaelia citrina,-40.775278,-19.796944
Pseudolaelia citrina,-40.551111,-19.348333
Pseudolaelia citrina,-40.665556,-18.977778
Pseudolaelia citrina,-40.550833,-19.348056
Pseudolaelia citrina,-40.662222,-18.979444
Pseudolaelia citrina,-40.662778,-18.971944
Pseudolaelia citrina,-40.551111,-19.348333
Pseudolaelia citrina,-40.739444,-19.760833
Pseudolaelia citrina,-40.775278,-19.796944
Pseudolaelia citrina,-40.614444,-20.173056
